iter	Passed	Remaining
0	69	69323
1	84	42186
2	96	32082
3	108	27080
4	122	24295
5	134	22288
6	146	20812
7	158	19607
8	169	18715
9	182	18112
10	196	17631
11	211	17440
12	225	17112
13	237	16755
14	250	16427
15	262	16163
16	273	15818
17	285	15591
18	297	15347
19	308	15099
20	320	14963
21	332	14782
22	343	14599
23	355	14472
24	368	14386
25	380	14259
26	392	14158
27	406	14105
28	418	14013
29	430	13913
30	442	13820
31	453	13715
32	466	13657
33	479	13625
34	491	13559
35	503	13473
36	516	13440
37	528	13370
38	539	13302
39	551	13243
40	564	13198
41	577	13170
42	590	13138
43	602	13089
44	614	13033
45	625	12980
46	637	12932
47	649	12874
48	661	12832
49	674	12807
50	687	12784
51	698	12730
52	711	12715
53	723	12681
54	736	12648
55	748	12611
56	760	12579
57	772	12553
58	784	12515
59	797	12497
60	810	12471
61	822	12445
62	834	12417
63	850	12434
64	862	12412
65	876	12401
66	894	12455
67	915	12541
68	928	12522
69	939	12484
70	954	12485
71	971	12526
72	984	12496
73	996	12464
74	1011	12469
75	1028	12505
76	1045	12528
77	1056	12492
78	1067	12450
79	1081	12433
80	1092	12392
81	1103	12355
82	1117	12341
83	1130	12324
84	1143	12305
85	1154	12273
86	1165	12233
87	1179	12219
88	1191	12195
89	1209	12229
90	1221	12201
91	1234	12179
92	1246	12159
93	1258	12133
94	1271	12108
95	1283	12084
96	1295	12059
97	1306	12029
98	1319	12011
99	1332	11993
100	1347	11993
101	1359	11967
102	1370	11936
103	1382	11914
104	1395	11897
105	1410	11898
106	1426	11903
107	1437	11876
108	1450	11855
109	1462	11833
110	1474	11806
111	1487	11795
112	1546	12141
113	1564	12160
114	1586	12210
115	1602	12209
116	1619	12221
117	1632	12202
118	1645	12184
119	1659	12168
120	1673	12159
121	1687	12146
122	1700	12128
123	1714	12112
124	1728	12099
125	1742	12089
126	1756	12076
127	1769	12051
128	1780	12023
129	1794	12010
130	1808	11997
131	1823	11990
132	1834	11959
133	1844	11920
134	1856	11894
135	1870	11885
136	1886	11886
137	1898	11860
138	1911	11838
139	1924	11819
140	1937	11801
141	1949	11778
142	1961	11752
143	1974	11739
144	1987	11721
145	2002	11713
146	2015	11692
147	2028	11680
148	2040	11654
149	2052	11632
150	2065	11612
151	2076	11585
152	2089	11567
153	2102	11547
154	2120	11557
155	2151	11639
156	2169	11646
157	2185	11649
158	2205	11666
159	2224	11677
160	2237	11661
161	2251	11644
162	2265	11630
163	2279	11620
164	2292	11602
165	2306	11587
166	2319	11568
167	2330	11541
168	2343	11522
169	2355	11502
170	2367	11477
171	2379	11452
172	2392	11434
173	2404	11413
174	2416	11394
175	2429	11376
176	2441	11353
177	2454	11333
178	2468	11324
179	2481	11305
180	2494	11285
181	2506	11263
182	2518	11242
183	2530	11221
184	2542	11201
185	2554	11179
186	2566	11157
187	2578	11138
188	2591	11120
189	2604	11102
190	2616	11080
191	2629	11064
192	2641	11044
193	2658	11045
194	2672	11030
195	2684	11010
196	2699	11004
197	2712	10987
198	2725	10968
199	2739	10957
200	2752	10940
201	2764	10922
202	2780	10914
203	2793	10898
204	2805	10881
205	2820	10869
206	2832	10852
207	2845	10836
208	2859	10820
209	2873	10809
210	2885	10790
211	2898	10774
212	2912	10761
213	2926	10747
214	2938	10730
215	2950	10709
216	2963	10692
217	2976	10676
218	2987	10655
219	3001	10639
220	3013	10622
221	3028	10613
222	3040	10593
223	3053	10576
224	3066	10563
225	3079	10546
226	3091	10526
227	3104	10510
228	3116	10493
229	3128	10473
230	3141	10457
231	3153	10439
232	3164	10418
233	3175	10394
234	3188	10379
235	3201	10365
236	3213	10345
237	3227	10333
238	3239	10315
239	3252	10299
240	3265	10284
241	3278	10270
242	3291	10253
243	3308	10249
244	3323	10240
245	3335	10224
246	3348	10208
247	3360	10190
248	3374	10177
249	3387	10161
250	3399	10144
251	3413	10131
252	3424	10111
253	3436	10094
254	3453	10089
255	3469	10082
256	3488	10086
257	3501	10068
258	3512	10050
259	3526	10036
260	3539	10022
261	3553	10008
262	3565	9991
263	3577	9974
264	3589	9955
265	3602	9940
266	3614	9923
267	3626	9905
268	3637	9885
269	3650	9870
270	3661	9850
271	3674	9833
272	3687	9818
273	3698	9799
274	3710	9781
275	3724	9770
276	3738	9758
277	3750	9741
278	3777	9763
279	3795	9759
280	3810	9749
281	3822	9733
282	3835	9716
283	3848	9702
284	3862	9689
285	3874	9673
286	3886	9656
287	3900	9642
288	3911	9623
289	3924	9608
290	3937	9593
291	3949	9575
292	3964	9567
293	3976	9548
294	3988	9531
295	4001	9516
296	4014	9502
297	4027	9487
298	4041	9474
299	4052	9455
300	4066	9442
301	4077	9425
302	4090	9410
303	4103	9394
304	4115	9378
305	4128	9363
306	4141	9349
307	4152	9330
308	4164	9313
309	4176	9295
310	4188	9279
311	4200	9261
312	4212	9246
313	4224	9230
314	4241	9222
315	4253	9206
316	4267	9193
317	4296	9215
318	4309	9200
319	4323	9188
320	4335	9171
321	4347	9154
322	4362	9144
323	4377	9132
324	4388	9114
325	4399	9095
326	4410	9077
327	4423	9062
328	4439	9054
329	4450	9035
330	4462	9019
331	4476	9006
332	4489	8991
333	4500	8974
334	4513	8959
335	4524	8941
336	4537	8926
337	4549	8910
338	4561	8893
339	4573	8877
340	4585	8862
341	4596	8843
342	4607	8825
343	4619	8810
344	4631	8793
345	4644	8778
346	4657	8764
347	4670	8750
348	4682	8733
349	4696	8721
350	4708	8706
351	4729	8706
352	4750	8706
353	4763	8692
354	4775	8676
355	4789	8664
356	4802	8649
357	4813	8631
358	4825	8616
359	4838	8600
360	4850	8586
361	4862	8570
362	4876	8557
363	4889	8542
364	4905	8533
365	4916	8516
366	4929	8501
367	4940	8484
368	4952	8469
369	4965	8454
370	4977	8439
371	4990	8425
372	5002	8408
373	5014	8394
374	5027	8378
375	5038	8361
376	5050	8345
377	5062	8329
378	5075	8316
379	5087	8300
380	5100	8287
381	5128	8296
382	5145	8289
383	5159	8277
384	5175	8266
385	5189	8254
386	5201	8239
387	5213	8224
388	5224	8206
389	5235	8188
390	5248	8174
391	5260	8159
392	5273	8144
393	5285	8128
394	5297	8113
395	5312	8102
396	5324	8087
397	5337	8072
398	5349	8058
399	5361	8042
400	5374	8028
401	5386	8012
402	5398	7997
403	5410	7982
404	5422	7966
405	5434	7950
406	5446	7935
407	5457	7919
408	5471	7905
409	5482	7889
410	5493	7873
411	5525	7885
412	5543	7879
413	5555	7864
414	5568	7849
415	5581	7835
416	5594	7821
417	5607	7806
418	5618	7790
419	5630	7774
420	5641	7758
421	5653	7743
422	5666	7728
423	5677	7712
424	5689	7698
425	5700	7681
426	5712	7666
427	5726	7653
428	5738	7637
429	5750	7623
430	5763	7609
431	5778	7597
432	5791	7583
433	5803	7568
434	5814	7551
435	5825	7536
436	5838	7522
437	5850	7506
438	5860	7489
439	5872	7473
440	5883	7457
441	5895	7442
442	5907	7427
443	5920	7413
444	5933	7399
445	5944	7384
446	5956	7368
447	5968	7354
448	5979	7338
449	5992	7323
450	6003	7308
451	6015	7293
452	6028	7279
453	6041	7265
454	6052	7249
455	6065	7236
456	6077	7221
457	6089	7206
458	6101	7190
459	6113	7177
460	6141	7181
461	6154	7167
462	6167	7153
463	6182	7141
464	6194	7127
465	6207	7112
466	6219	7098
467	6232	7084
468	6244	7069
469	6256	7055
470	6272	7044
471	6285	7031
472	6298	7017
473	6311	7003
474	6324	6989
475	6336	6975
476	6350	6963
477	6362	6948
478	6375	6934
479	6388	6920
480	6401	6907
481	6413	6892
482	6427	6879
483	6439	6865
484	6452	6851
485	6465	6837
486	6476	6822
487	6489	6808
488	6501	6794
489	6514	6780
490	6541	6781
491	6556	6769
492	6566	6753
493	6581	6741
494	6595	6729
495	6608	6715
496	6621	6701
497	6633	6686
498	6646	6673
499	6659	6659
500	6670	6643
501	6682	6629
502	6694	6615
503	6706	6600
504	6719	6586
505	6732	6572
506	6745	6558
507	6756	6543
508	6770	6530
509	6783	6517
510	6796	6503
511	6808	6489
512	6820	6475
513	6832	6460
514	6845	6446
515	6857	6432
516	6870	6418
517	6895	6415
518	6909	6403
519	6921	6389
520	6935	6376
521	6947	6361
522	6960	6348
523	6975	6336
524	6988	6323
525	6999	6307
526	7012	6293
527	7024	6279
528	7038	6267
529	7050	6252
530	7061	6237
531	7073	6222
532	7085	6208
533	7098	6194
534	7110	6179
535	7122	6165
536	7134	6151
537	7147	6137
538	7159	6123
539	7172	6110
540	7184	6095
541	7196	6081
542	7208	6066
543	7221	6053
544	7233	6039
545	7246	6025
546	7259	6011
547	7271	5997
548	7283	5983
549	7295	5969
550	7308	5955
551	7332	5951
552	7357	5946
553	7370	5933
554	7386	5922
555	7397	5907
556	7411	5894
557	7422	5879
558	7434	5865
559	7447	5851
560	7459	5837
561	7470	5822
562	7484	5809
563	7496	5795
564	7510	5782
565	7521	5767
566	7534	5753
567	7545	5739
568	7558	5725
569	7570	5710
570	7583	5697
571	7597	5684
572	7608	5670
573	7621	5656
574	7633	5642
575	7644	5627
576	7670	5623
577	7685	5611
578	7697	5596
579	7708	5582
580	7722	5568
581	7734	5555
582	7747	5541
583	7760	5528
584	7771	5513
585	7799	5510
586	7813	5497
587	7828	5484
588	7839	5470
589	7852	5456
590	7865	5443
591	7880	5431
592	7892	5417
593	7904	5402
594	7916	5388
595	7930	5375
596	7943	5362
597	7955	5347
598	7967	5333
599	7980	5320
600	7993	5306
601	8005	5292
602	8017	5278
603	8028	5263
604	8041	5250
605	8059	5239
606	8071	5225
607	8083	5211
608	8097	5198
609	8115	5188
610	8128	5175
611	8144	5163
612	8157	5149
613	8169	5135
614	8180	5121
615	8191	5106
616	8202	5091
617	8213	5077
618	8226	5063
619	8237	5048
620	8250	5035
621	8262	5021
622	8270	5004
623	8284	4991
624	8293	4975
625	8305	4961
626	8313	4945
627	8324	4931
628	8333	4915
629	8345	4901
630	8357	4887
631	8366	4871
632	8378	4857
633	8389	4843
634	8399	4827
635	8408	4812
636	8423	4800
637	8438	4788
638	8447	4772
639	8465	4761
640	8477	4747
641	8489	4734
642	8502	4720
643	8514	4706
644	8525	4692
645	8536	4678
646	8548	4664
647	8560	4650
648	8575	4638
649	8587	4624
650	8599	4610
651	8615	4598
652	8637	4589
653	8656	4579
654	8673	4568
655	8685	4554
656	8696	4540
657	8708	4526
658	8721	4512
659	8734	4499
660	8747	4486
661	8758	4471
662	8771	4458
663	8782	4444
664	8795	4430
665	8804	4415
666	8818	4402
667	8831	4389
668	8843	4375
669	8856	4362
670	8869	4348
671	8881	4335
672	8893	4320
673	8904	4306
674	8913	4291
675	8925	4277
676	8935	4263
677	8947	4249
678	8956	4234
679	8965	4219
680	8979	4206
681	8993	4193
682	9007	4180
683	9016	4165
684	9025	4150
685	9035	4135
686	9047	4121
687	9056	4107
688	9065	4091
689	9076	4077
690	9088	4064
691	9102	4051
692	9114	4037
693	9126	4023
694	9138	4010
695	9150	3996
696	9162	3983
697	9174	3969
698	9188	3956
699	9202	3943
700	9218	3932
701	9232	3919
702	9245	3906
703	9259	3893
704	9271	3879
705	9287	3867
706	9300	3854
707	9309	3839
708	9322	3826
709	9331	3811
710	9343	3797
711	9351	3782
712	9361	3768
713	9372	3754
714	9385	3740
715	9397	3727
716	9409	3714
717	9421	3700
718	9436	3687
719	9449	3674
720	9461	3661
721	9474	3648
722	9487	3634
723	9498	3621
724	9512	3608
725	9524	3594
726	9533	3579
727	9541	3565
728	9554	3551
729	9562	3536
730	9571	3522
731	9580	3507
732	9589	3492
733	9600	3479
734	9613	3466
735	9623	3451
736	9633	3437
737	9642	3423
738	9651	3408
739	9662	3395
740	9671	3380
741	9695	3371
742	9706	3357
743	9714	3342
744	9722	3327
745	9731	3313
746	9740	3298
747	9749	3284
748	9760	3270
749	9769	3256
750	9778	3242
751	9786	3227
752	9795	3213
753	9804	3198
754	9812	3184
755	9821	3169
756	9829	3155
757	9838	3140
758	9856	3129
759	9869	3116
760	9878	3102
761	9886	3087
762	9894	3073
763	9903	3059
764	9913	3045
765	9922	3031
766	9931	3017
767	9941	3003
768	9951	2989
769	10009	2989
770	10020	2976
771	10030	2962
772	10046	2950
773	10057	2936
774	10069	2923
775	10079	2909
776	10093	2896
777	10103	2882
778	10118	2870
779	10128	2856
780	10137	2842
781	10146	2828
782	10155	2814
783	10168	2801
784	10182	2788
785	10191	2774
786	10199	2760
787	10209	2746
788	10219	2732
789	10230	2719
790	10241	2705
791	10253	2692
792	10273	2681
793	10287	2669
794	10299	2655
795	10312	2642
796	10328	2630
797	10345	2618
798	10354	2604
799	10364	2591
800	10377	2578
801	10386	2564
802	10396	2550
803	10406	2537
804	10416	2523
805	10428	2510
806	10441	2497
807	10455	2484
808	10466	2471
809	10478	2457
810	10488	2444
811	10497	2430
812	10508	2417
813	10520	2403
814	10530	2390
815	10541	2377
816	10551	2363
817	10559	2349
818	10568	2335
819	10581	2322
820	10593	2309
821	10604	2296
822	10616	2283
823	10627	2270
824	10641	2257
825	10654	2244
826	10667	2231
827	10679	2218
828	10690	2205
829	10702	2192
830	10727	2181
831	10747	2170
832	10765	2158
833	10776	2144
834	10785	2131
835	10795	2117
836	10805	2104
837	10814	2090
838	10825	2077
839	10835	2063
840	10849	2051
841	10862	2038
842	10875	2025
843	10887	2012
844	10900	1999
845	10912	1986
846	10924	1973
847	10934	1960
848	10949	1947
